Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Body models', 'Items - Clutter')",31,46,1,0.003927,0.005826,0.000127,0.009753
"('Anime', 'Clothing - Female')",27,86,4,0.00342,0.010893,0.000507,0.014313
"('Related to Movies/TV/Other Games', 'Russian')",64,28,1,0.008106,0.003547,0.000127,0.011653
"('New models', 'Polish')",100,23,3,0.012666,0.002913,0.00038,0.015579
"('Scripted Events', 'Hearthfire')",23,12,1,0.002913,0.00152,0.000127,0.004433
"('Items - Furniture', ""Modder's Resource"")",19,68,3,0.002407,0.008613,0.00038,0.01102
"('French', 'Items - Furniture')",41,19,1,0.005193,0.002407,0.000127,0.0076
"('German', 'Russian')",57,28,18,0.00722,0.003547,0.00228,0.010766
"('Lore-Friendly', 'Saved games')",322,98,4,0.040785,0.012413,0.000507,0.053198
"('For female characters', 'Leveled Lists')",209,21,1,0.026472,0.00266,0.000127,0.029132
"('Russian', 'Locations - Buildings')",28,55,4,0.003547,0.006966,0.000507,0.010513
"('Quests', 'Creatures - Rideable')",25,5,2,0.003167,0.000633,0.000253,0.0038
"('Environment - Sky', 'Lore-Friendly')",21,322,9,0.00266,0.040785,0.00114,0.043445
"('Faction: Companions', 'Nudity')",4,64,1,0.000507,0.008106,0.000127,0.008613
"('Replacer', 'Races - Modified')",255,31,8,0.032299,0.003927,0.001013,0.036225
"('Compilation', 'Tutorials for Players')",16,18,2,0.002027,0.00228,0.000253,0.004307
"('German', 'Clothing - Female')",57,86,7,0.00722,0.010893,0.000887,0.018113
"('Related to vampires', 'German')",23,57,1,0.002913,0.00722,0.000127,0.010133
"('Lighting', 'Books')",38,38,2,0.004813,0.004813,0.000253,0.009626
"('Audio - Voices', 'New textures')",22,340,3,0.002787,0.043065,0.00038,0.045852
"('Animation - Modified', 'Video')",17,11,2,0.002153,0.001393,0.000253,0.003547
"('Translation', 'Czech')",110,8,1,0.013933,0.001013,0.000127,0.014946
"('Chargen', 'Quests')",26,25,1,0.003293,0.003167,0.000127,0.00646
"('Armor - Shields', 'NPCs')",74,115,8,0.009373,0.014566,0.001013,0.023939
"('Related to Movies/TV/Other Games', 'Utilities for Modders')",64,26,1,0.008106,0.003293,0.000127,0.0114
"('Compilation', 'Unrealistic')",16,57,2,0.002027,0.00722,0.000253,0.009246
"('Companion Friendly', 'Races - New')",137,22,3,0.017353,0.002787,0.00038,0.020139
"('Races - Modified', 'Saved games')",31,98,2,0.003927,0.012413,0.000253,0.016339
"('Birthsigns', 'Scripted Events')",3,23,1,0.00038,0.002913,0.000127,0.003293
"('Related to Movies/TV/Other Games', 'French')",64,41,1,0.008106,0.005193,0.000127,0.0133
"('Items - Clutter', 'Tutorials for Modders')",46,12,1,0.005826,0.00152,0.000127,0.007346
"('Audio - Sound FX', 'NPC Vendors')",40,33,1,0.005066,0.00418,0.000127,0.009246
"('Birthsigns', 'Locations - Player-Owned')",3,51,1,0.00038,0.00646,0.000127,0.00684
"('For male characters', 'Clothing')",180,85,32,0.022799,0.010766,0.004053,0.033566
"('Italian', 'SKSE (Skyrim Script Extender)')",29,27,1,0.003673,0.00342,0.000127,0.007093
"('Hair', 'Saved games')",13,98,1,0.001647,0.012413,0.000127,0.01406
"('Other languages', 'Creatures')",30,46,1,0.0038,0.005826,0.000127,0.009626
"('For male characters', 'Utilities for Players')",180,63,2,0.022799,0.00798,0.000253,0.030779
"('Related to Movies/TV/Other Games', 'Anime')",64,27,6,0.008106,0.00342,0.00076,0.011526
"('Related to vampires', 'User Interface')",23,39,1,0.002913,0.00494,0.000127,0.007853
"('Gameplay Effects/Changes', 'Utilities for Modders')",168,26,1,0.021279,0.003293,0.000127,0.024573
"('Magic - Potions', 'NPC Trainers')",14,8,2,0.001773,0.001013,0.000253,0.002787
"('Companions', 'Other languages')",85,30,1,0.010766,0.0038,0.000127,0.014566
"('For female characters', 'Environment - Sky')",209,21,1,0.026472,0.00266,0.000127,0.029132
"('Fair and balanced', 'Not Safe For Work')",292,39,3,0.036985,0.00494,0.00038,0.041925
"('Face models', 'Polish')",37,23,2,0.004687,0.002913,0.000253,0.0076
"('Animation - New', 'German')",7,57,2,0.000887,0.00722,0.000253,0.008106
"('Japanese', 'Creatures')",21,46,1,0.00266,0.005826,0.000127,0.008486
"('Scripted Events', 'Not Safe For Work')",23,39,1,0.002913,0.00494,0.000127,0.007853
"('Companions', 'Items - Leveled')",85,15,1,0.010766,0.0019,0.000127,0.012666
"('Creatures - Rideable', 'Utilities for Players')",5,63,1,0.000633,0.00798,0.000127,0.008613
"('Environment - Other', 'Items - Furniture')",62,19,4,0.007853,0.002407,0.000507,0.01026
"('Faction: College of Winterhold', 'Gameplay Effects/Changes')",8,168,2,0.001013,0.021279,0.000253,0.022293
"('Related to Movies/TV/Other Games', 'Not Lore-Friendly')",64,76,11,0.008106,0.009626,0.001393,0.017733
"('Environment - Other', 'Creatures')",62,46,4,0.007853,0.005826,0.000507,0.01368
"('Clothing - Male', 'SKSE (Skyrim Script Extender)')",47,27,2,0.005953,0.00342,0.000253,0.009373
"('Related to horses', 'Clothing - Female')",16,86,1,0.002027,0.010893,0.000127,0.01292
"('Replacer', 'Environment - Other')",255,62,13,0.032299,0.007853,0.001647,0.040152
"('Scripted Events', 'Locations - Dungeons')",23,29,5,0.002913,0.003673,0.000633,0.006586
"('Creatures - Rideable', 'Items - Clutter')",5,46,1,0.000633,0.005826,0.000127,0.00646
"('Items - Furniture', 'Weapons')",19,176,2,0.002407,0.022293,0.000253,0.024699
"('Guilds / Factions', 'Items - Leveled')",20,15,2,0.002533,0.0019,0.000253,0.004433
"('Scripted Events', 'Locations - Player-Owned')",23,51,2,0.002913,0.00646,0.000253,0.009373
"('Body models', 'Hair')",31,13,5,0.003927,0.001647,0.000633,0.005573
"('Weapons', 'Tutorials for Modders')",176,12,1,0.022293,0.00152,0.000127,0.023813
"('Animation - Modified', 'Races - Modified')",17,31,2,0.002153,0.003927,0.000253,0.00608
"('Environment - Other', 'New textures')",62,340,22,0.007853,0.043065,0.002787,0.050918
"('Animation - Modified', 'User Interface')",17,39,1,0.002153,0.00494,0.000127,0.007093
"('Races - New', 'Spanish')",22,45,2,0.002787,0.0057,0.000253,0.008486
"('Replacer', 'Audio - Music')",255,26,8,0.032299,0.003293,0.001013,0.035592
"('Fair and balanced', 'Lore-Friendly')",292,322,164,0.036985,0.040785,0.020773,0.077771
"('Leveled Lists', 'Races - Modified')",21,31,1,0.00266,0.003927,0.000127,0.006586
"('Companions', 'Locations - Player-Owned')",85,51,6,0.010766,0.00646,0.00076,0.017226
"('Cheating', 'Not Lore-Friendly')",50,76,6,0.006333,0.009626,0.00076,0.015959
"('Companion Friendly', 'SKSE (Skyrim Script Extender)')",137,27,4,0.017353,0.00342,0.000507,0.020773
"('Environment - Sky', 'Face models')",21,37,1,0.00266,0.004687,0.000127,0.007346
"('Companion Friendly', 'Magic - Potions')",137,14,3,0.017353,0.001773,0.00038,0.019126
"('Creatures', 'NPCs')",46,115,19,0.005826,0.014566,0.002407,0.020393
"('Locations - World Map', 'Utilities for Players')",34,63,1,0.004307,0.00798,0.000127,0.012286
"('Not Lore-Friendly', 'German')",76,57,2,0.009626,0.00722,0.000253,0.016846
"('Official', 'Audio - Voices')",11,22,2,0.001393,0.002787,0.000253,0.00418
"('Unrealistic', 'Magic - Spells')",57,80,1,0.00722,0.010133,0.000127,0.017353
"('French', 'Other languages')",41,30,12,0.005193,0.0038,0.00152,0.008993
"('Body models', 'New Lands')",31,18,1,0.003927,0.00228,0.000127,0.006206
"('Fair and balanced', 'Guilds / Factions')",292,20,8,0.036985,0.002533,0.001013,0.039519
"('Face models', 'Saved games')",37,98,9,0.004687,0.012413,0.00114,0.017099
"('Guilds / Factions', 'English')",20,459,13,0.002533,0.058138,0.001647,0.060671
"('Body models', 'Translation')",31,110,1,0.003927,0.013933,0.000127,0.017859
"('Not Lore-Friendly', 'Italian')",76,29,1,0.009626,0.003673,0.000127,0.0133
"('New Lands', 'Clothing - Female')",18,86,1,0.00228,0.010893,0.000127,0.013173
"('Performance Optimization', 'Items - Clutter')",33,46,3,0.00418,0.005826,0.00038,0.010006
"('Related to Movies/TV/Other Games', 'Fair and balanced')",64,292,20,0.008106,0.036985,0.002533,0.045092
"('Fair and balanced', 'Audio - Sound FX')",292,40,10,0.036985,0.005066,0.001267,0.042052
"('Gameplay Effects/Changes', 'Items - Furniture')",168,19,5,0.021279,0.002407,0.000633,0.023686
"('New Lands', 'Translation')",18,110,1,0.00228,0.013933,0.000127,0.016213
"('Face models', 'Hair')",37,13,7,0.004687,0.001647,0.000887,0.006333
"('Related to Movies/TV/Other Games', 'Audio - Sound FX')",64,40,2,0.008106,0.005066,0.000253,0.013173
"('Clothing - Male', 'Creatures - Rideable')",47,5,1,0.005953,0.000633,0.000127,0.006586
"('Companion Friendly', 'Not Safe For Work')",137,39,1,0.017353,0.00494,0.000127,0.022293
"('Environment - Weather', 'Quests')",14,25,2,0.001773,0.003167,0.000253,0.00494
"('Environment - Weather', 'Weapons')",14,176,3,0.001773,0.022293,0.00038,0.024066
"('Translation', 'Items - Clutter')",110,46,1,0.013933,0.005826,0.000127,0.019759
"('Compilation', 'Locations - World Map')",16,34,1,0.002027,0.004307,0.000127,0.006333
"('Related to vampires', 'Animation - New')",23,7,1,0.002913,0.000887,0.000127,0.0038
"('Related to horses', 'Environment - Sky')",16,21,1,0.002027,0.00266,0.000127,0.004687
"('Polish', 'Items - Furniture')",23,19,1,0.002913,0.002407,0.000127,0.00532
"('French', 'Locations - Caverns')",41,13,1,0.005193,0.001647,0.000127,0.00684
"('Items - Ingredients', 'Locations - Player-Owned')",21,51,2,0.00266,0.00646,0.000253,0.00912
"('For male characters', 'Races - New')",180,22,9,0.022799,0.002787,0.00114,0.025586
"('Gameplay Effects/Changes', 'Czech')",168,8,3,0.021279,0.001013,0.00038,0.022293
"('Audio - Music', 'NPC Vendors')",26,33,2,0.003293,0.00418,0.000253,0.007473
"('Performance Optimization', 'Locations - Player-Owned')",33,51,1,0.00418,0.00646,0.000127,0.01064
"('Not Lore-Friendly', 'Spanish')",76,45,2,0.009626,0.0057,0.000253,0.015326
"('Cheating', 'Guilds / Factions')",50,20,1,0.006333,0.002533,0.000127,0.008866
"('Leveled Lists', 'Plants / Foliage')",21,15,4,0.00266,0.0019,0.000507,0.00456
"('Unbalanced', ""Modder's Resource"")",32,68,1,0.004053,0.008613,0.000127,0.012666
"('Solstheim', 'Clothing - Female')",10,86,1,0.001267,0.010893,0.000127,0.01216
"('For male characters', 'Polish')",180,23,4,0.022799,0.002913,0.000507,0.025712
"('Lore-Friendly', 'Russian')",322,28,15,0.040785,0.003547,0.0019,0.044332
"('Performance Optimization', 'Armor - Shields')",33,74,3,0.00418,0.009373,0.00038,0.013553
"('New Lands', 'Items - Furniture')",18,19,1,0.00228,0.002407,0.000127,0.004687
"('Audio - Voices', 'Humor, Joke or Just for Fun')",22,58,7,0.002787,0.007346,0.000887,0.010133
"('Humor, Joke or Just for Fun', 'Plants / Foliage')",58,15,2,0.007346,0.0019,0.000253,0.009246
"('Birthsigns', 'Tutorials for Players')",3,18,1,0.00038,0.00228,0.000127,0.00266
"('Related to vampires', 'Guilds / Factions')",23,20,1,0.002913,0.002533,0.000127,0.005446
"('Gameplay Effects/Changes', 'Japanese')",168,21,4,0.021279,0.00266,0.000507,0.023939
"('Plants / Foliage', 'User Interface')",15,39,1,0.0019,0.00494,0.000127,0.00684
"('Lore-Friendly', 'Japanese')",322,21,9,0.040785,0.00266,0.00114,0.043445
"('Polish', 'Locations - Dungeons')",23,29,1,0.002913,0.003673,0.000127,0.006586
"('Related to horses', 'Classes component')",16,4,1,0.002027,0.000507,0.000127,0.002533
"('Replacer', 'Nudity')",255,64,15,0.032299,0.008106,0.0019,0.040405
"('Hair', 'Not Lore-Friendly')",13,76,1,0.001647,0.009626,0.000127,0.011273
"('Companions', 'German')",85,57,6,0.010766,0.00722,0.00076,0.017986
"('New models', 'Creatures - Rideable')",100,5,2,0.012666,0.000633,0.000253,0.0133
"('Clothing - Male', 'Utilities for Modders')",47,26,1,0.005953,0.003293,0.000127,0.009246
"('Replacer', 'Items - Furniture')",255,19,4,0.032299,0.002407,0.000507,0.034706
"('Companion Friendly', 'Locations - Dungeons')",137,29,7,0.017353,0.003673,0.000887,0.021026
"('Companion Friendly', 'Spanish')",137,45,10,0.017353,0.0057,0.001267,0.023053
"('Fair and balanced', 'Locations - Player-Owned')",292,51,26,0.036985,0.00646,0.003293,0.043445
"('Gameplay Effects/Changes', 'Replacer')",168,255,22,0.021279,0.032299,0.002787,0.053578
"('Animation - New', 'Races - Modified')",7,31,1,0.000887,0.003927,0.000127,0.004813
"('Humor, Joke or Just for Fun', 'Nudity')",58,64,6,0.007346,0.008106,0.00076,0.015453
"('Replacer', 'English')",255,459,75,0.032299,0.058138,0.0095,0.090437
"('French', 'Books')",41,38,2,0.005193,0.004813,0.000253,0.010006
"('Gameplay Effects/Changes', 'Hair')",168,13,1,0.021279,0.001647,0.000127,0.022926
"('Companion Friendly', 'Items - Ingredients')",137,21,6,0.017353,0.00266,0.00076,0.020013
"('Gameplay Effects/Changes', 'Items - Clutter')",168,46,11,0.021279,0.005826,0.001393,0.027106
"('Audio - Sound FX', 'New textures')",40,340,6,0.005066,0.043065,0.00076,0.048132
"('Environment - Water', 'Video')",10,11,2,0.001267,0.001393,0.000253,0.00266
"('Compilation', 'German')",16,57,4,0.002027,0.00722,0.000507,0.009246
"('Nudity', 'Locations - Player-Owned')",64,51,1,0.008106,0.00646,0.000127,0.014566
"('For female characters', 'Locations - Dungeons')",209,29,4,0.026472,0.003673,0.000507,0.030146
"('For male characters', 'User Interface')",180,39,1,0.022799,0.00494,0.000127,0.027739
"('Hair', 'Quests')",13,25,1,0.001647,0.003167,0.000127,0.004813
"('Companions', 'Items - Furniture')",85,19,3,0.010766,0.002407,0.00038,0.013173
"('NPC Vendors', 'Hearthfire')",33,12,1,0.00418,0.00152,0.000127,0.0057
"('Birthsigns', 'Creatures - Rideable')",3,5,1,0.00038,0.000633,0.000127,0.001013
"('Environment - Sky', 'Locations - Caverns')",21,13,2,0.00266,0.001647,0.000253,0.004307
"('Translation', 'Dragonborn')",110,41,5,0.013933,0.005193,0.000633,0.019126
"('Related to horses', 'Birthsigns')",16,3,1,0.002027,0.00038,0.000127,0.002407
"('Books', 'NPC Trainers')",38,8,2,0.004813,0.001013,0.000253,0.005826
"('Items - Furniture', 'NPCs')",19,115,5,0.002407,0.014566,0.000633,0.016973
"('Unrealistic', 'User Interface')",57,39,1,0.00722,0.00494,0.000127,0.01216
"('Audio - Music', 'Items - Furniture')",26,19,1,0.003293,0.002407,0.000127,0.0057
"('Related to horses', 'French')",16,41,2,0.002027,0.005193,0.000253,0.00722
"('Creatures', ""Modder's Resource"")",46,68,3,0.005826,0.008613,0.00038,0.01444
"('New models', 'Items - Clutter')",100,46,9,0.012666,0.005826,0.00114,0.018493
"('Compilation', 'Lighting')",16,38,1,0.002027,0.004813,0.000127,0.00684
"('Czech', 'Other languages')",8,30,7,0.001013,0.0038,0.000887,0.004813
"('Audio - Sound FX', 'Items - Furniture')",40,19,1,0.005066,0.002407,0.000127,0.007473
"('Russian', 'Locations - Player-Owned')",28,51,2,0.003547,0.00646,0.000253,0.010006
"('Audio - Voices', 'Locations - World Map')",22,34,1,0.002787,0.004307,0.000127,0.007093
"('Gameplay Effects/Changes', 'Races - New')",168,22,2,0.021279,0.002787,0.000253,0.024066
"('Races - Modified', 'Weapons')",31,176,6,0.003927,0.022293,0.00076,0.026219
"('Dawnguard', 'Dragonborn')",33,41,11,0.00418,0.005193,0.001393,0.009373
"('Related to vampires', 'NPC Vendors')",23,33,3,0.002913,0.00418,0.00038,0.007093
"('Related to horses', 'Plants / Foliage')",16,15,1,0.002027,0.0019,0.000127,0.003927
"('Animation - New', 'Clothing - Female')",7,86,2,0.000887,0.010893,0.000253,0.01178
"('Locations - Buildings', 'Locations - World Map')",55,34,8,0.006966,0.004307,0.001013,0.011273
"('Polish', 'Locations - Player-Owned')",23,51,2,0.002913,0.00646,0.000253,0.009373
"('Armor - Shields', 'Utilities for Players')",74,63,1,0.009373,0.00798,0.000127,0.017353
"('Face models', 'Quests')",37,25,1,0.004687,0.003167,0.000127,0.007853
"('Faction: College of Winterhold', 'Magic - Spells')",8,80,2,0.001013,0.010133,0.000253,0.011146
"('Magic - Enchantments', 'Dragonborn')",39,41,1,0.00494,0.005193,0.000127,0.010133
"('Cheating', 'Sexy/Skimpy')",50,103,1,0.006333,0.013046,0.000127,0.019379
"('Magic - Potions', 'Tutorials for Players')",14,18,1,0.001773,0.00228,0.000127,0.004053
"('New textures', 'German')",340,57,13,0.043065,0.00722,0.001647,0.050285
"('Compilation', 'Plants / Foliage')",16,15,1,0.002027,0.0019,0.000127,0.003927
"('Lore-Friendly', 'Czech')",322,8,4,0.040785,0.001013,0.000507,0.041799
"('Performance Optimization', 'Items - Ingredients')",33,21,1,0.00418,0.00266,0.000127,0.00684
"('Items - Leveled', 'Dawnguard')",15,33,1,0.0019,0.00418,0.000127,0.00608
"('Magic - Spells', ""Modder's Resource"")",80,68,3,0.010133,0.008613,0.00038,0.018746
"('Environment - Weather', 'Magic - Spells')",14,80,4,0.001773,0.010133,0.000507,0.011906
"('Environment - Water', 'User Interface')",10,39,1,0.001267,0.00494,0.000127,0.006206
"('Russian', 'Clothing - Male')",28,47,2,0.003547,0.005953,0.000253,0.0095
"('Replacer', 'Tutorials for Players')",255,18,2,0.032299,0.00228,0.000253,0.034579
"('Companion Friendly', 'Lore-Friendly')",137,322,77,0.017353,0.040785,0.009753,0.058138
"('Companion Friendly', 'Saved games')",137,98,4,0.017353,0.012413,0.000507,0.029766
"('Clothing - Female', 'Items - Clutter')",86,46,4,0.010893,0.005826,0.000507,0.016719
"('Scripted Events', 'French')",23,41,3,0.002913,0.005193,0.00038,0.008106
"('Animation - Modified', 'Quests')",17,25,1,0.002153,0.003167,0.000127,0.00532
"('Chargen', 'Clothing - Female')",26,86,1,0.003293,0.010893,0.000127,0.014186
"('Fair and balanced', 'Leveled Lists')",292,21,12,0.036985,0.00266,0.00152,0.039645
"('Chargen', 'Creatures - Rideable')",26,5,1,0.003293,0.000633,0.000127,0.003927
"('Creatures', 'Dragonborn')",46,41,3,0.005826,0.005193,0.00038,0.01102
"('For female characters', 'Hearthfire')",209,12,2,0.026472,0.00152,0.000253,0.027992
"('Locations - Caverns', 'NPCs')",13,115,5,0.001647,0.014566,0.000633,0.016213
"('Chargen', 'Tutorials for Players')",26,18,1,0.003293,0.00228,0.000127,0.005573
"('New textures', 'User Interface')",340,39,2,0.043065,0.00494,0.000253,0.048005
"('Poses', 'Lore-Friendly')",5,322,1,0.000633,0.040785,0.000127,0.041419
"('Leveled Lists', 'Creatures - Rideable')",21,5,2,0.00266,0.000633,0.000253,0.003293
"('Environment - Water', 'Environment - Weather')",10,14,4,0.001267,0.001773,0.000507,0.00304
"('Environment - Sky', 'Polish')",21,23,1,0.00266,0.002913,0.000127,0.005573
"('Guilds / Factions', 'Russian')",20,28,2,0.002533,0.003547,0.000253,0.00608
"('Quests', 'Items - Ingredients')",25,21,2,0.003167,0.00266,0.000253,0.005826
"('Clothing', 'NPCs')",85,115,15,0.010766,0.014566,0.0019,0.025332
"('Items - Ingredients', 'Locations - World Map')",21,34,4,0.00266,0.004307,0.000507,0.006966
"('Clothing - Male', 'Locations - World Map')",47,34,3,0.005953,0.004307,0.00038,0.01026
"('Guilds / Factions', 'User Interface')",20,39,1,0.002533,0.00494,0.000127,0.007473
"('Replacer', 'Scripted Events')",255,23,2,0.032299,0.002913,0.000253,0.035212
"('Humor, Joke or Just for Fun', 'English')",58,459,25,0.007346,0.058138,0.003167,0.065484
"('Audio - Sound FX', 'New Lands')",40,18,3,0.005066,0.00228,0.00038,0.007346
"('Compilation', 'Books')",16,38,2,0.002027,0.004813,0.000253,0.00684
"('Related to horses', 'Other languages')",16,30,1,0.002027,0.0038,0.000127,0.005826
"('Items - Leveled', 'Plants / Foliage')",15,15,2,0.0019,0.0019,0.000253,0.0038
"('Fair and balanced', 'Locations - Buildings')",292,55,24,0.036985,0.006966,0.00304,0.043952
"('Compilation', 'Utilities for Players')",16,63,3,0.002027,0.00798,0.00038,0.010006
"('Hair', 'Weapons')",13,176,3,0.001647,0.022293,0.00038,0.023939
"('Items - Furniture', 'Dragonborn')",19,41,1,0.002407,0.005193,0.000127,0.0076
"('Cheating', 'Items - Ingredients')",50,21,2,0.006333,0.00266,0.000253,0.008993
"('Gameplay Effects/Changes', 'Tutorials for Modders')",168,12,2,0.021279,0.00152,0.000253,0.022799
"('Classes component', 'Magic - Enchantments')",4,39,1,0.000507,0.00494,0.000127,0.005446
"('Creatures - Rideable', ""Modder's Resource"")",5,68,1,0.000633,0.008613,0.000127,0.009246
"('Races - New', 'Translation')",22,110,1,0.002787,0.013933,0.000127,0.016719
"('Related to vampires', 'Locations - World Map')",23,34,1,0.002913,0.004307,0.000127,0.00722
"('Related to horses', 'Environment - Water')",16,10,1,0.002027,0.001267,0.000127,0.003293
"('Locations - Buildings', 'NPC Vendors')",55,33,9,0.006966,0.00418,0.00114,0.011146
"('Locations - Caverns', 'Locations - World Map')",13,34,6,0.001647,0.004307,0.00076,0.005953
"('Companions', 'Items - Clutter')",85,46,3,0.010766,0.005826,0.00038,0.016593
"('Compilation', 'Armor - Shields')",16,74,1,0.002027,0.009373,0.000127,0.0114
"('Related to vampires', 'Tutorials for Players')",23,18,1,0.002913,0.00228,0.000127,0.005193
"('Related to Movies/TV/Other Games', 'Environment - Sky')",64,21,3,0.008106,0.00266,0.00038,0.010766
"('Body models', 'Items - Furniture')",31,19,1,0.003927,0.002407,0.000127,0.006333
"('Environment - Water', 'New textures')",10,340,4,0.001267,0.043065,0.000507,0.044332
"('Environment - Other', 'French')",62,41,6,0.007853,0.005193,0.00076,0.013046
"('Classes component', 'New textures')",4,340,1,0.000507,0.043065,0.000127,0.043572
"('Lore-Friendly', 'Magic - Enchantments')",322,39,14,0.040785,0.00494,0.001773,0.045725
"('For male characters', 'Performance Optimization')",180,33,4,0.022799,0.00418,0.000507,0.026979
"('Clothing - Female', 'Creatures - Rideable')",86,5,1,0.010893,0.000633,0.000127,0.011526
"('Classes component', 'Clothing - Male')",4,47,1,0.000507,0.005953,0.000127,0.00646
"('Locations - Caverns', 'Plants / Foliage')",13,15,3,0.001647,0.0019,0.00038,0.003547
"('Chargen', 'Official')",26,11,1,0.003293,0.001393,0.000127,0.004687
"('Performance Optimization', 'Fair and balanced')",33,292,14,0.00418,0.036985,0.001773,0.041165
"('Translation', 'Magic - Potions')",110,14,2,0.013933,0.001773,0.000253,0.015706
"('Video', 'Clothing - Male')",11,47,3,0.001393,0.005953,0.00038,0.007346
"('Japanese', 'Tutorials for Players')",21,18,1,0.00266,0.00228,0.000127,0.00494
"('Gameplay Effects/Changes', 'Locations - Buildings')",168,55,6,0.021279,0.006966,0.00076,0.028246
"('Performance Optimization', 'Locations - Caverns')",33,13,1,0.00418,0.001647,0.000127,0.005826
"('Creatures - Rideable', 'Magic - Enchantments')",5,39,1,0.000633,0.00494,0.000127,0.005573
"('Audio - Music', 'Other languages')",26,30,1,0.003293,0.0038,0.000127,0.007093
"('Poses', 'Sexy/Skimpy')",5,103,1,0.000633,0.013046,0.000127,0.01368
"('Environment - Other', 'Tutorials for Modders')",62,12,2,0.007853,0.00152,0.000253,0.009373
"('Performance Optimization', 'German')",33,57,4,0.00418,0.00722,0.000507,0.0114
"('Humor, Joke or Just for Fun', 'Dawnguard')",58,33,2,0.007346,0.00418,0.000253,0.011526
"('Environment - Sky', 'Magic - Potions')",21,14,2,0.00266,0.001773,0.000253,0.004433
"('Solstheim', 'Dragonborn')",10,41,10,0.001267,0.005193,0.001267,0.00646
"('Faction: College of Winterhold', 'New textures')",8,340,1,0.001013,0.043065,0.000127,0.044079
"('Related to horses', 'NPCs')",16,115,2,0.002027,0.014566,0.000253,0.016593
"('Books', 'Magic - Potions')",38,14,5,0.004813,0.001773,0.000633,0.006586
"('Audio - Sound FX', 'Hair')",40,13,1,0.005066,0.001647,0.000127,0.006713
"('Companions', 'Scripted Events')",85,23,3,0.010766,0.002913,0.00038,0.01368
"('Companion Friendly', 'Items - Furniture')",137,19,3,0.017353,0.002407,0.00038,0.019759
"('Environment - Sky', 'Clothing')",21,85,1,0.00266,0.010766,0.000127,0.013426
"('Races - New', 'Not Lore-Friendly')",22,76,5,0.002787,0.009626,0.000633,0.012413
"('Fair and balanced', 'Items - Ingredients')",292,21,9,0.036985,0.00266,0.00114,0.039645
"('Related to MLP', 'Humor, Joke or Just for Fun')",1,58,1,0.000127,0.007346,0.000127,0.007473
"('New models', 'Czech')",100,8,1,0.012666,0.001013,0.000127,0.01368
"('Unbalanced', 'NPCs')",32,115,2,0.004053,0.014566,0.000253,0.018619
"('Poses', 'Guilds / Factions')",5,20,1,0.000633,0.002533,0.000127,0.003167
"('Audio - Music', 'English')",26,459,12,0.003293,0.058138,0.00152,0.061431
"('Environment - Weather', 'Video')",14,11,2,0.001773,0.001393,0.000253,0.003167
"('Faction: College of Winterhold', 'Magic - Enchantments')",8,39,1,0.001013,0.00494,0.000127,0.005953
"('Creatures - Rideable', 'Locations - World Map')",5,34,2,0.000633,0.004307,0.000253,0.00494
"('Official', 'English')",11,459,6,0.001393,0.058138,0.00076,0.059531
"('Faction: Thieves Guild', 'For male characters')",3,180,1,0.00038,0.022799,0.000127,0.023179
"('Quests', 'Magic - Potions')",25,14,2,0.003167,0.001773,0.000253,0.00494
"('Unrealistic', 'Weapons')",57,176,2,0.00722,0.022293,0.000253,0.029512
"('Gameplay Effects/Changes', 'Animation - New')",168,7,3,0.021279,0.000887,0.00038,0.022166
"('NPCs', 'Dawnguard')",115,33,4,0.014566,0.00418,0.000507,0.018746
"('Related to Movies/TV/Other Games', 'Locations - Caverns')",64,13,1,0.008106,0.001647,0.000127,0.009753
"('Related to Movies/TV/Other Games', 'Japanese')",64,21,1,0.008106,0.00266,0.000127,0.010766
"('Items - Clutter', 'User Interface')",46,39,2,0.005826,0.00494,0.000253,0.010766
"('Locations - Buildings', 'Magic - Potions')",55,14,4,0.006966,0.001773,0.000507,0.00874
"('Performance Optimization', 'Lighting')",33,38,5,0.00418,0.004813,0.000633,0.008993
"('Performance Optimization', 'Spanish')",33,45,1,0.00418,0.0057,0.000127,0.00988
"('Magic - Spells', 'Tutorials for Modders')",80,12,1,0.010133,0.00152,0.000127,0.011653
"('Audio - Music', 'New textures')",26,340,7,0.003293,0.043065,0.000887,0.046358
"('Clothing', 'User Interface')",85,39,1,0.010766,0.00494,0.000127,0.015706
"('Companions', 'Magic - Spells')",85,80,6,0.010766,0.010133,0.00076,0.020899
"('For female characters', 'Clothing - Female')",209,86,54,0.026472,0.010893,0.00684,0.037365
"('Armor - Shields', 'Locations - Caverns')",74,13,2,0.009373,0.001647,0.000253,0.01102
"('Companion Friendly', 'Lighting')",137,38,2,0.017353,0.004813,0.000253,0.022166
"('Replacer', 'Items - Leveled')",255,15,1,0.032299,0.0019,0.000127,0.034199
"('Birthsigns', 'Magic - Potions')",3,14,1,0.00038,0.001773,0.000127,0.002153
"('Cheating', 'Magic - Potions')",50,14,2,0.006333,0.001773,0.000253,0.008106
"('Cheating', 'Russian')",50,28,1,0.006333,0.003547,0.000127,0.00988
"('Companion Friendly', 'Solstheim')",137,10,2,0.017353,0.001267,0.000253,0.018619
"('New textures', 'Magic - Enchantments')",340,39,11,0.043065,0.00494,0.001393,0.048005
